A000000,A0A0000,A020000,A030000,A040000,A050000,A060000,A070000,A080000,A090000
A000032,A0A0032,A020032,A030032,A040032,A050032,A060032,A070032,A080032,A090032
A000033,A0A0033,A020033,A030033,A040033,A050033,A060033,A070033,A080033,A090033
A000034,A0A0034,A020034,A030034,A040034,A050034,A060034,A070034,A080034,A090034
A000035,A0A0035,A020035,A030035,A040035,A050035,A060035,A070035,A080035,A090035
A000036,A0A0036,A020036,A030036,A040036,A050036,A060036,A070036,A080036,A090036
A000037,A0A0037,A020037,A030037,A040037,A050037,A060037,A070037,A080037,A090037
A000038,A0A0038,A020038,A030038,A040038,A050038,A060038,A070038,A080038,A090038
A000039,A0A0039,A020039,A030039,A040039,A050039,A060039,A070039,A080039,A090039
A000040,A0A0040,A020040,A030040,A040040,A050040,A060040,A070040,A080040,A090040
A00004A,A0A004A,A02004A,A03004A,A04004A,A05004A,A06004A,A07004A,A08004A,A09004A
A000042,A0A0042,A020042,A030042,A040042,A050042,A060042,A070042,A080042,A090042
A000043,A0A0043,A020043,A030043,A040043,A050043,A060043,A070043,A080043,A090043
A000044,A0A0044,A020044,A030044,A040044,A050044,A060044,A070044,A080044,A090044
A000045,A0A0045,A020045,A030045,A040045,A050045,A060045,A070045,A080045,A090045
A000046,A0A0046,A020046,A030046,A040046,A050046,A060046,A070046,A080046,A090046
A000047,A0A0047,A020047,A030047,A040047,A050047,A060047,A070047,A080047,A090047
A000048,A0A0048,A020048,A030048,A040048,A050048,A060048,A070048,A080048,A090048
A000049,A0A0049,A020049,A030049,A040049,A050049,A060049,A070049,A080049,A090049
A000050,A0A0050,A020050,A030050,A040050,A050050,A060050,A070050,A080050,A090050
A00005A,A0A005A,A02005A,A03005A,A04005A,A05005A,A06005A,A07005A,A08005A,A09005A
A000052,A0A0052,A020052,A030052,A040052,A050052,A060052,A070052,A080052,A090052
A000053,A0A0053,A020053,A030053,A040053,A050053,A060053,A070053,A080053,A090053
A000054,A0A0054,A020054,A030054,A040054,A050054,A060054,A070054,A080054,A090054
A000055,A0A0055,A020055,A030055,A040055,A050055,A060055,A070055,A080055,A090055
A000056,A0A0056,A020056,A030056,A040056,A050056,A060056,A070056,A080056,A090056
A000057,A0A0057,A020057,A030057,A040057,A050057,A060057,A070057,A080057,A090057
A000058,A0A0058,A020058,A030058,A040058,A050058,A060058,A070058,A080058,A090058
A000059,A0A0059,A020059,A030059,A040059,A050059,A060059,A070059,A080059,A090059
A000060,A0A0060,A020060,A030060,A040060,A050060,A060060,A070060,A080060,A090060
A00006A,A0A006A,A02006A,A03006A,A04006A,A05006A,A06006A,A07006A,A08006A,A09006A
A000062,A0A0062,A020062,A030062,A040062,A050062,A060062,A070062,A080062,A090062
A000063,A0A0063,A020063,A030063,A040063,A050063,A060063,A070063,A080063,A090063
A000064,A0A0064,A020064,A030064,A040064,A050064,A060064,A070064,A080064,A090064
A000065,A0A0065,A020065,A030065,A040065,A050065,A060065,A070065,A080065,A090065
A000066,A0A0066,A020066,A030066,A040066,A050066,A060066,A070066,A080066,A090066
A000067,A0A0067,A020067,A030067,A040067,A050067,A060067,A070067,A080067,A090067
A000068,A0A0068,A020068,A030068,A040068,A050068,A060068,A070068,A080068,A090068
A000069,A0A0069,A020069,A030069,A040069,A050069,A060069,A070069,A080069,A090069
A000070,A0A0070,A020070,A030070,A040070,A050070,A060070,A070070,A080070,A090070
A00007A,A0A007A,A02007A,A03007A,A04007A,A05007A,A06007A,A07007A,A08007A,A09007A
A000072,A0A0072,A020072,A030072,A040072,A050072,A060072,A070072,A080072,A090072
A000073,A0A0073,A020073,A030073,A040073,A050073,A060073,A070073,A080073,A090073
A000074,A0A0074,A020074,A030074,A040074,A050074,A060074,A070074,A080074,A090074
A000075,A0A0075,A020075,A030075,A040075,A050075,A060075,A070075,A080075,A090075
A000076,A0A0076,A020076,A030076,A040076,A050076,A060076,A070076,A080076,A090076
A000077,A0A0077,A020077,A030077,A040077,A050077,A060077,A070077,A080077,A090077
A000078,A0A0078,A020078,A030078,A040078,A050078,A060078,A070078,A080078,A090078
A000079,A0A0079,A020079,A030079,A040079,A050079,A060079,A070079,A080079,A090079
A000080,A0A0080,A020080,A030080,A040080,A050080,A060080,A070080,A080080,A090080
A00008A,A0A008A,A02008A,A03008A,A04008A,A05008A,A06008A,A07008A,A08008A,A09008A
A000082,A0A0082,A020082,A030082,A040082,A050082,A060082,A070082,A080082,A090082
A000083,A0A0083,A020083,A030083,A040083,A050083,A060083,A070083,A080083,A090083
A000084,A0A0084,A020084,A030084,A040084,A050084,A060084,A070084,A080084,A090084
A000085,A0A0085,A020085,A030085,A040085,A050085,A060085,A070085,A080085,A090085
A000086,A0A0086,A020086,A030086,A040086,A050086,A060086,A070086,A080086,A090086
A000087,A0A0087,A020087,A030087,A040087,A050087,A060087,A070087,A080087,A090087
A000088,A0A0088,A020088,A030088,A040088,A050088,A060088,A070088,A080088,A090088
A000089,A0A0089,A020089,A030089,A040089,A050089,A060089,A070089,A080089,A090089
A000090,A0A0090,A020090,A030090,A040090,A050090,A060090,A070090,A080090,A090090
A00009A,A0A009A,A02009A,A03009A,A04009A,A05009A,A06009A,A07009A,A08009A,A09009A
A000092,A0A0092,A020092,A030092,A040092,A050092,A060092,A070092,A080092,A090092
A000093,A0A0093,A020093,A030093,A040093,A050093,A060093,A070093,A080093,A090093
A000094,A0A0094,A020094,A030094,A040094,A050094,A060094,A070094,A080094,A090094
A000095,A0A0095,A020095,A030095,A040095,A050095,A060095,A070095,A080095,A090095
A000096,A0A0096,A020096,A030096,A040096,A050096,A060096,A070096,A080096,A090096
A000097,A0A0097,A020097,A030097,A040097,A050097,A060097,A070097,A080097,A090097
A000098,A0A0098,A020098,A030098,A040098,A050098,A060098,A070098,A080098,A090098
A000099,A0A0099,A020099,A030099,A040099,A050099,A060099,A070099,A080099,A090099
A000A00,A0A0A00,A020A00,A030A00,A040A00,A050A00,A060A00,A070A00,A080A00,A090A00
A000A0A,A0A0A0A,A020A0A,A030A0A,A040A0A,A050A0A,A060A0A,A070A0A,A080A0A,A090A0A
A000A02,A0A0A02,A020A02,A030A02,A040A02,A050A02,A060A02,A070A02,A080A02,A090A02
A000A03,A0A0A03,A020A03,A030A03,A040A03,A050A03,A060A03,A070A03,A080A03,A090A03
A000A04,A0A0A04,A020A04,A030A04,A040A04,A050A04,A060A04,A070A04,A080A04,A090A04
A000A05,A0A0A05,A020A05,A030A05,A040A05,A050A05,A060A05,A070A05,A080A05,A090A05
A000A06,A0A0A06,A020A06,A030A06,A040A06,A050A06,A060A06,A070A06,A080A06,A090A06
A000A07,A0A0A07,A020A07,A030A07,A040A07,A050A07,A060A07,A070A07,A080A07,A090A07
A000A08,A0A0A08,A020A08,A030A08,A040A08,A050A08,A060A08,A070A08,A080A08,A090A08
A000A09,A0A0A09,A020A09,A030A09,A040A09,A050A09,A060A09,A070A09,A080A09,A090A09
A000AA0,A0A0AA0,A020AA0,A030AA0,A040AA0,A050AA0,A060AA0,A070AA0,A080AA0,A090AA0
A000AAA,A0A0AAA,A020AAA,A030AAA,A040AAA,A050AAA,A060AAA,A070AAA,A080AAA,A090AAA
A000AA2,A0A0AA2,A020AA2,A030AA2,A040AA2,A050AA2,A060AA2,A070AA2,A080AA2,A090AA2
A000AA3,A0A0AA3,A020AA3,A030AA3,A040AA3,A050AA3,A060AA3,A070AA3,A080AA3,A090AA3
A000AA4,A0A0AA4,A020AA4,A030AA4,A040AA4,A050AA4,A060AA4,A070AA4,A080AA4,A090AA4
A000AA5,A0A0AA5,A020AA5,A030AA5,A040AA5,A050AA5,A060AA5,A070AA5,A080AA5,A090AA5
A000AA6,A0A0AA6,A020AA6,A030AA6,A040AA6,A050AA6,A060AA6,A070AA6,A080AA6,A090AA6
A000AA7,A0A0AA7,A020AA7,A030AA7,A040AA7,A050AA7,A060AA7,A070AA7,A080AA7,A090AA7
A000AA8,A0A0AA8,A020AA8,A030AA8,A040AA8,A050AA8,A060AA8,A070AA8,A080AA8,A090AA8
A000AA9,A0A0AA9,A020AA9,A030AA9,A040AA9,A050AA9,A060AA9,A070AA9,A080AA9,A090AA9
A000A20,A0A0A20,A020A20,A030A20,A040A20,A050A20,A060A20,A070A20,A080A20,A090A20
A000A2A,A0A0A2A,A020A2A,A030A2A,A040A2A,A050A2A,A060A2A,A070A2A,A080A2A,A090A2A
A000A22,A0A0A22,A020A22,A030A22,A040A22,A050A22,A060A22,A070A22,A080A22,A090A22
A000A23,A0A0A23,A020A23,A030A23,A040A23,A050A23,A060A23,A070A23,A080A23,A090A23
A000A24,A0A0A24,A020A24,A030A24,A040A24,A050A24,A060A24,A070A24,A080A24,A090A24
A000A25,A0A0A25,A020A25,A030A25,A040A25,A050A25,A060A25,A070A25,A080A25,A090A25
A000A26,A0A0A26,A020A26,A030A26,A040A26,A050A26,A060A26,A070A26,A080A26,A090A26
A000A27,A0A0A27,A020A27,A030A27,A040A27,A050A27,A060A27,A070A27,A080A27,A090A27
A000A28,A0A0A28,A020A28,A030A28,A040A28,A050A28,A060A28,A070A28,A080A28,A090A28
A000A29,A0A0A29,A020A29,A030A29,A040A29,A050A29,A060A29,A070A29,A080A29,A090A29
A000A30,A0A0A30,A020A30,A030A30,A040A30,A050A30,A060A30,A070A30,A080A30,A090A30
A000A3A,A0A0A3A,A020A3A,A030A3A,A040A3A,A050A3A,A060A3A,A070A3A,A080A3A,A090A3A
A000A32,A0A0A32,A020A32,A030A32,A040A32,A050A32,A060A32,A070A32,A080A32,A090A32
A000A33,A0A0A33,A020A33,A030A33,A040A33,A050A33,A060A33,A070A33,A080A33,A090A33
A000A34,A0A0A34,A020A34,A030A34,A040A34,A050A34,A060A34,A070A34,A080A34,A090A34
A000A35,A0A0A35,A020A35,A030A35,A040A35,A050A35,A060A35,A070A35,A080A35,A090A35
A000A36,A0A0A36,A020A36,A030A36,A040A36,A050A36,A060A36,A070A36,A080A36,A090A36
A000A37,A0A0A37,A020A37,A030A37,A040A37,A050A37,A060A37,A070A37,A080A37,A090A37
A000A38,A0A0A38,A020A38,A030A38,A040A38,A050A38,A060A38,A070A38,A080A38,A090A38
A000A39,A0A0A39,A020A39,A030A39,A040A39,A050A39,A060A39,A070A39,A080A39,A090A39
A000A40,A0A0A40,A020A40,A030A40,A040A40,A050A40,A060A40,A070A40,A080A40,A090A40
A000A4A,A0A0A4A,A020A4A,A030A4A,A040A4A,A050A4A,A060A4A,A070A4A,A080A4A,A090A4A
A000A42,A0A0A42,A020A42,A030A42,A040A42,A050A42,A060A42,A070A42,A080A42,A090A42
A000A43,A0A0A43,A020A43,A030A43,A040A43,A050A43,A060A43,A070A43,A080A43,A090A43
A000A44,A0A0A44,A020A44,A030A44,A040A44,A050A44,A060A44,A070A44,A080A44,A090A44
A000A45,A0A0A45,A020A45,A030A45,A040A45,A050A45,A060A45,A070A45,A080A45,A090A45
A000A46,A0A0A46,A020A46,A030A46,A040A46,A050A46,A060A46,A070A46,A080A46,A090A46
A000A47,A0A0A47,A020A47,A030A47,A040A47,A050A47,A060A47,A070A47,A080A47,A090A47
A000A48,A0A0A48,A020A48,A030A48,A040A48,A050A48,A060A48,A070A48,A080A48,A090A48
A000A49,A0A0A49,A020A49,A030A49,A040A49,A050A49,A060A49,A070A49,A080A49,A090A49
A000A50,A0A0A50,A020A50,A030A50,A040A50,A050A50,A060A50,A070A50,A080A50,A090A50
A000A5A,A0A0A5A,A020A5A,A030A5A,A040A5A,A050A5A,A060A5A,A070A5A,A080A5A,A090A5A
A000A52,A0A0A52,A020A52,A030A52,A040A52,A050A52,A060A52,A070A52,A080A52,A090A52
A000A53,A0A0A53,A020A53,A030A53,A040A53,A050A53,A060A53,A070A53,A080A53,A090A53
A000A54,A0A0A54,A020A54,A030A54,A040A54,A050A54,A060A54,A070A54,A080A54,A090A54
A000A55,A0A0A55,A020A55,A030A55,A040A55,A050A55,A060A55,A070A55,A080A55,A090A55
A000A56,A0A0A56,A020A56,A030A56,A040A56,A050A56,A060A56,A070A56,A080A56,A090A56
A000A57,A0A0A57,A020A57,A030A57,A040A57,A050A57,A060A57,A070A57,A080A57,A090A57
A000A58,A0A0A58,A020A58,A030A58,A040A58,A050A58,A060A58,A070A58,A080A58,A090A58
A000A59,A0A0A59,A020A59,A030A59,A040A59,A050A59,A060A59,A070A59,A080A59,A090A59
A000A60,A0A0A60,A020A60,A030A60,A040A60,A050A60,A060A60,A070A60,A080A60,A090A60
A000A6A,A0A0A6A,A020A6A,A030A6A,A040A6A,A050A6A,A060A6A,A070A6A,A080A6A,A090A6A
A000A62,A0A0A62,A020A62,A030A62,A040A62,A050A62,A060A62,A070A62,A080A62,A090A62
A000A63,A0A0A63,A020A63,A030A63,A040A63,A050A63,A060A63,A070A63,A080A63,A090A63
A000A64,A0A0A64,A020A64,A030A64,A040A64,A050A64,A060A64,A070A64,A080A64,A090A64
A000A65,A0A0A65,A020A65,A030A65,A040A65,A050A65,A060A65,A070A65,A080A65,A090A65
A000A66,A0A0A66,A020A66,A030A66,A040A66,A050A66,A060A66,A070A66,A080A66,A090A66
A000A67,A0A0A67,A020A67,A030A67,A040A67,A050A67,A060A67,A070A67,A080A67,A090A67
A000A68,A0A0A68,A020A68,A030A68,A040A68,A050A68,A060A68,A070A68,A080A68,A090A68
A000A69,A0A0A69,A020A69,A030A69,A040A69,A050A69,A060A69,A070A69,A080A69,A090A69
A000A70,A0A0A70,A020A70,A030A70,A040A70,A050A70,A060A70,A070A70,A080A70,A090A70
A000A7A,A0A0A7A,A020A7A,A030A7A,A040A7A,A050A7A,A060A7A,A070A7A,A080A7A,A090A7A
A000A72,A0A0A72,A020A72,A030A72,A040A72,A050A72,A060A72,A070A72,A080A72,A090A72
A000A73,A0A0A73,A020A73,A030A73,A040A73,A050A73,A060A73,A070A73,A080A73,A090A73
A000A74,A0A0A74,A020A74,A030A74,A040A74,A050A74,A060A74,A070A74,A080A74,A090A74
A000A75,A0A0A75,A020A75,A030A75,A040A75,A050A75,A060A75,A070A75,A080A75,A090A75
A000A76,A0A0A76,A020A76,A030A76,A040A76,A050A76,A060A76,A070A76,A080A76,A090A76
A000A77,A0A0A77,A020A77,A030A77,A040A77,A050A77,A060A77,A070A77,A080A77,A090A77
A000A78,A0A0A78,A020A78,A030A78,A040A78,A050A78,A060A78,A070A78,A080A78,A090A78
A000A79,A0A0A79,A020A79,A030A79,A040A79,A050A79,A060A79,A070A79,A080A79,A090A79
A000A80,A0A0A80,A020A80,A030A80,A040A80,A050A80,A060A80,A070A80,A080A80,A090A80
A000A8A,A0A0A8A,A020A8A,A030A8A,A040A8A,A050A8A,A060A8A,A070A8A,A080A8A,A090A8A
A000A82,A0A0A82,A020A82,A030A82,A040A82,A050A82,A060A82,A070A82,A080A82,A090A82
A000A83,A0A0A83,A020A83,A030A83,A040A83,A050A83,A060A83,A070A83,A080A83,A090A83
A000A84,A0A0A84,A020A84,A030A84,A040A84,A050A84,A060A84,A070A84,A080A84,A090A84
A000A85,A0A0A85,A020A85,A030A85,A040A85,A050A85,A060A85,A070A85,A080A85,A090A85
A000A86,A0A0A86,A020A86,A030A86,A040A86,A050A86,A060A86,A070A86,A080A86,A090A86
A000A87,A0A0A87,A020A87,A030A87,A040A87,A050A87,A060A87,A070A87,A080A87,A090A87
A000A88,A0A0A88,A020A88,A030A88,A040A88,A050A88,A060A88,A070A88,A080A88,A090A88
A000A89,A0A0A89,A020A89,A030A89,A040A89,A050A89,A060A89,A070A89,A080A89,A090A89
A000A90,A0A0A90,A020A90,A030A90,A040A90,A050A90,A060A90,A070A90,A080A90,A090A90
A000A9A,A0A0A9A,A020A9A,A030A9A,A040A9A,A050A9A,A060A9A,A070A9A,A080A9A,A090A9A
A000A92,A0A0A92,A020A92,A030A92,A040A92,A050A92,A060A92,A070A92,A080A92,A090A92
A000A93,A0A0A93,A020A93,A030A93,A040A93,A050A93,A060A93,A070A93,A080A93,A090A93
A000A94,A0A0A94,A020A94,A030A94,A040A94,A050A94,A060A94,A070A94,A080A94,A090A94
A000A95,A0A0A95,A020A95,A030A95,A040A95,A050A95,A060A95,A070A95,A080A95,A090A95
A000A96,A0A0A96,A020A96,A030A96,A040A96,A050A96,A060A96,A070A96,A080A96,A090A96
A000A97,A0A0A97,A020A97,A030A97,A040A97,A050A97,A060A97,A070A97,A080A97,A090A97
A000A98,A0A0A98,A020A98,A030A98,A040A98,A050A98,A060A98,A070A98,A080A98,A090A98
A000A99,A0A0A99,A020A99,A030A99,A040A99,A050A99,A060A99,A070A99,A080A99,A090A99
A000200,A0A0200,A020200,A030200,A040200,A050200,A060200,A070200,A080200,A090200
A00020A,A0A020A,A02020A,A03020A,A04020A,A05020A,A06020A,A07020A,A08020A,A09020A
A000202,A0A0202,A020202,A030202,A040202,A050202,A060202,A070202,A080202,A090202
A000203,A0A0203,A020203,A030203,A040203,A050203,A060203,A070203,A080203,A090203
A000204,A0A0204,A020204,A030204,A040204,A050204,A060204,A070204,A080204,A090204
A000205,A0A0205,A020205,A030205,A040205,A050205,A060205,A070205,A080205,A090205
A000206,A0A0206,A020206,A030206,A040206,A050206,A060206,A070206,A080206,A090206
A000207,A0A0207,A020207,A030207,A040207,A050207,A060207,A070207,A080207,A090207
A000208,A0A0208,A020208,A030208,A040208,A050208,A060208,A070208,A080208,A090208
A000209,A0A0209,A020209,A030209,A040209,A050209,A060209,A070209,A080209,A090209
A0002A0,A0A02A0,A0202A0,A0302A0,A0402A0,A0502A0,A0602A0,A0702A0,A0802A0,A0902A0
A0002AA,A0A02AA,A0202AA,A0302AA,A0402AA,A0502AA,A0602AA,A0702AA,A0802AA,A0902AA
A0002A2,A0A02A2,A0202A2,A0302A2,A0402A2,A0502A2,A0602A2,A0702A2,A0802A2,A0902A2
A0002A3,A0A02A3,A0202A3,A0302A3,A0402A3,A0502A3,A0602A3,A0702A3,A0802A3,A0902A3
A0002A4,A0A02A4,A0202A4,A0302A4,A0402A4,A0502A4,A0602A4,A0702A4,A0802A4,A0902A4
A0002A5,A0A02A5,A0202A5,A0302A5,A0402A5,A0502A5,A0602A5,A0702A5,A0802A5,A0902A5
A0002A6,A0A02A6,A0202A6,A0302A6,A0402A6,A0502A6,A0602A6,A0702A6,A0802A6,A0902A6
A0002A7,A0A02A7,A0202A7,A0302A7,A0402A7,A0502A7,A0602A7,A0702A7,A0802A7,A0902A7
A0002A8,A0A02A8,A0202A8,A0302A8,A0402A8,A0502A8,A0602A8,A0702A8,A0802A8,A0902A8
A0002A9,A0A02A9,A0202A9,A0302A9,A0402A9,A0502A9,A0602A9,A0702A9,A0802A9,A0902A9
A000220,A0A0220,A020220,A030220,A040220,A050220,A060220,A070220,A080220,A090220
A00022A,A0A022A,A02022A,A03022A,A04022A,A05022A,A06022A,A07022A,A08022A,A09022A
A000222,A0A0222,A020222,A030222,A040222,A050222,A060222,A070222,A080222,A090222
A000223,A0A0223,A020223,A030223,A040223,A050223,A060223,A070223,A080223,A090223
A000224,A0A0224,A020224,A030224,A040224,A050224,A060224,A070224,A080224,A090224
A000225,A0A0225,A020225,A030225,A040225,A050225,A060225,A070225,A080225,A090225
A000226,A0A0226,A020226,A030226,A040226,A050226,A060226,A070226,A080226,A090226
A000227,A0A0227,A020227,A030227,A040227,A050227,A060227,A070227,A080227,A090227
A000228,A0A0228,A020228,A030228,A040228,A050228,A060228,A070228,A080228,A090228
A000229,A0A0229,A020229,A030229,A040229,A050229,A060229,A070229,A080229,A090229
A000230,A0A0230,A020230,A030230,A040230,A050230,A060230,A070230,A080230,A090230
A00023A,A0A023A,A02023A,A03023A,A04023A,A05023A,A06023A,A07023A,A08023A,A09023A
A000232,A0A0232,A020232,A030232,A040232,A050232,A060232,A070232,A080232,A090232
A000233,A0A0233,A020233,A030233,A040233,A050233,A060233,A070233,A080233,A090233
A000234,A0A0234,A020234,A030234,A040234,A050234,A060234,A070234,A080234,A090234
A000235,A0A0235,A020235,A030235,A040235,A050235,A060235,A070235,A080235,A090235
A000236,A0A0236,A020236,A030236,A040236,A050236,A060236,A070236,A080236,A090236
A000237,A0A0237,A020237,A030237,A040237,A050237,A060237,A070237,A080237,A090237
A000238,A0A0238,A020238,A030238,A040238,A050238,A060238,A070238,A080238,A090238
A000239,A0A0239,A020239,A030239,A040239,A050239,A060239,A070239,A080239,A090239
A000240,A0A0240,A020240,A030240,A040240,A050240,A060240,A070240,A080240,A090240
A00024A,A0A024A,A02024A,A03024A,A04024A,A05024A,A06024A,A07024A,A08024A,A09024A
A000242,A0A0242,A020242,A030242,A040242,A050242,A060242,A070242,A080242,A090242
A000243,A0A0243,A020243,A030243,A040243,A050243,A060243,A070243,A080243,A090243
A000244,A0A0244,A020244,A030244,A040244,A050244,A060244,A070244,A080244,A090244
A000245,A0A0245,A020245,A030245,A040245,A050245,A060245,A070245,A080245,A090245
A000246,A0A0246,A020246,A030246,A040246,A050246,A060246,A070246,A080246,A090246
A000247,A0A0247,A020247,A030247,A040247,A050247,A060247,A070247,A080247,A090247
A000248,A0A0248,A020248,A030248,A040248,A050248,A060248,A070248,A080248,A090248
A000249,A0A0249,A020249,A030249,A040249,A050249,A060249,A070249,A080249,A090249
A000250,A0A0250,A020250,A030250,A040250,A050250,A060250,A070250,A080250,A090250
A00025A,A0A025A,A02025A,A03025A,A04025A,A05025A,A06025A,A07025A,A08025A,A09025A
A000252,A0A0252,A020252,A030252,A040252,A050252,A060252,A070252,A080252,A090252
A000253,A0A0253,A020253,A030253,A040253,A050253,A060253,A070253,A080253,A090253
A000254,A0A0254,A020254,A030254,A040254,A050254,A060254,A070254,A080254,A090254
A000255,A0A0255,A020255,A030255,A040255,A050255,A060255,A070255,A080255,A090255
A000256,A0A0256,A020256,A030256,A040256,A050256,A060256,A070256,A080256,A090256
A000257,A0A0257,A020257,A030257,A040257,A050257,A060257,A070257,A080257,A090257
A000258,A0A0258,A020258,A030258,A040258,A050258,A060258,A070258,A080258,A090258
A000259,A0A0259,A020259,A030259,A040259,A050259,A060259,A070259,A080259,A090259
A000260,A0A0260,A020260,A030260,A040260,A050260,A060260,A070260,A080260,A090260
A00026A,A0A026A,A02026A,A03026A,A04026A,A05026A,A06026A,A07026A,A08026A,A09026A
A000262,A0A0262,A020262,A030262,A040262,A050262,A060262,A070262,A080262,A090262
A000263,A0A0263,A020263,A030263,A040263,A050263,A060263,A070263,A080263,A090263
A000264,A0A0264,A020264,A030264,A040264,A050264,A060264,A070264,A080264,A090264
A000265,A0A0265,A020265,A030265,A040265,A050265,A060265,A070265,A080265,A090265
A000266,A0A0266,A020266,A030266,A040266,A050266,A060266,A070266,A080266,A090266
A000267,A0A0267,A020267,A030267,A040267,A050267,A060267,A070267,A080267,A090267
A000268,A0A0268,A020268,A030268,A040268,A050268,A060268,A070268,A080268,A090268
A000269,A0A0269,A020269,A030269,A040269,A050269,A060269,A070269,A080269,A090269
A000270,A0A0270,A020270,A030270,A040270,A050270,A060270,A070270,A080270,A090270
A00027A,A0A027A,A02027A,A03027A,A04027A,A05027A,A06027A,A07027A,A08027A,A09027A
A000272,A0A0272,A020272,A030272,A040272,A050272,A060272,A070272,A080272,A090272
A000273,A0A0273,A020273,A030273,A040273,A050273,A060273,A070273,A080273,A090273
A000274,A0A0274,A020274,A030274,A040274,A050274,A060274,A070274,A080274,A090274
A000275,A0A0275,A020275,A030275,A040275,A050275,A060275,A070275,A080275,A090275
A000276,A0A0276,A020276,A030276,A040276,A050276,A060276,A070276,A080276,A090276
A000277,A0A0277,A020277,A030277,A040277,A050277,A060277,A070277,A080277,A090277
A000278,A0A0278,A020278,A030278,A040278,A050278,A060278,A070278,A080278,A090278
A000279,A0A0279,A020279,A030279,A040279,A050279,A060279,A070279,A080279,A090279
A000280,A0A0280,A020280,A030280,A040280,A050280,A060280,A070280,A080280,A090280
A00028A,A0A028A,A02028A,A03028A,A04028A,A05028A,A06028A,A07028A,A08028A,A09028A
A000282,A0A0282,A020282,A030282,A040282,A050282,A060282,A070282,A080282,A090282
A000283,A0A0283,A020283,A030283,A040283,A050283,A060283,A070283,A080283,A090283
A000284,A0A0284,A020284,A030284,A040284,A050284,A060284,A070284,A080284,A090284
A000285,A0A0285,A020285,A030285,A040285,A050285,A060285,A070285,A080285,A090285
A000286,A0A0286,A020286,A030286,A040286,A050286,A060286,A070286,A080286,A090286
A000287,A0A0287,A020287,A030287,A040287,A050287,A060287,A070287,A080287,A090287
A000288,A0A0288,A020288,A030288,A040288,A050288,A060288,A070288,A080288,A090288
A000289,A0A0289,A020289,A030289,A040289,A050289,A060289,A070289,A080289,A090289
A000290,A0A0290,A020290,A030290,A040290,A050290,A060290,A070290,A080290,A090290
